Contrato,Dirección Suministro,Uso,M3 Consumidos
6145539,"PORTUGAL, TRAV. 2",DOMESTICO,0
6145541,"PORTUGAL, TRAV. 8 1º",DOMESTICO,25
6145542,ANGEL RODRIGUEZ CAMPOS 2,DOMESTICO,22
6145543,ANGEL RODRIGUEZ CAMPOS 4,DOMESTICO,13
6145547,ANGEL RODRIGUEZ CAMPOS 12,DOMESTICO,16
6145548,ANGEL RODRIGUEZ CAMPOS 14,DOMESTICO,5
6145549,ANGEL RODRIGUEZ CAMPOS 16,DOMESTICO,0
6145550,CTRA. CASAR-ARROYO SN,NO DOMESTICO,6
6145551,CTRA. CASAR-ARROYO SN,NO DOMESTICO,2
6145552,CTRA. CASAR-ARROYO SN,COMERCIAL,58
6145554,CTRA. CASAR-ARROYO SN,NO DOMESTICO,4
6145555,CTRA. CASAR-ARROYO SN,NO DOMESTICO,4
6145556,CTRA. CASAR-ARROYO SN,NO DOMESTICO,5
6145557,CTRA. CASAR-ARROYO SN,NO DOMESTICO,4
6145558,CTRA. CASAR-ARROYO SN,NO DOMESTICO,0
6145559,CTRA. CASAR-ARROYO SN,NO DOMESTICO,14
6145561,BARRIONUEVO ALTO 1,DOMESTICO,74
6145562,BARRIONUEVO ALTO 3,DOMESTICO,7
6145563,BARRIONUEVO ALTO 7,DOMESTICO,37
6145564,BARRIONUEVO ALTO 9,DOMESTICO,33
6145565,BARRIONUEVO ALTO 13,DOMESTICO,24
6145566,BARRIONUEVO ALTO 19,DOMESTICO,20
6145567,BARRIONUEVO ALTO 21,DOMESTICO,0
6145568,BARRIONUEVO ALTO 23,DOMESTICO,5
6145569,BARRIONUEVO ALTO 27,DOMESTICO,11
6145571,BARRIONUEVO ALTO 31,DOMESTICO,30
6145572,BARRIONUEVO ALTO 33,DOMESTICO,19
6145574,BARRIONUEVO ALTO 41 A,DOMESTICO,26
6145575,BARRIONUEVO ALTO 41,DOMESTICO,5
6145576,BARRIONUEVO ALTO 43,DOMESTICO,0
6145579,BARRIONUEVO ALTO 53 1º,DOMESTICO,6
6145580,BARRIONUEVO ALTO 55,DOMESTICO,6
6145581,BARRIONUEVO ALTO 57,DOMESTICO,13
6145582,BARRIONUEVO ALTO 59,DOMESTICO,7
6145583,BARRIONUEVO ALTO 61,DOMESTICO,13
6145584,BARRIONUEVO ALTO 63,DOMESTICO,5
6145586,BARRIONUEVO ALTO 69,DOMESTICO,3
6145588,BARRIONUEVO ALTO 73,DOMESTICO,21
6145589,BARRIONUEVO ALTO 75,DOMESTICO,23
6145590,BARRIONUEVO ALTO 2,DOMESTICO,26
6145592,BARRIONUEVO ALTO 12,DOMESTICO,19
6145593,BARRIONUEVO ALTO 14 A,DOMESTICO,28
6145594,BARRIONUEVO ALTO 14,DOMESTICO,28
6145595,BARRIONUEVO ALTO 14,DOMESTICO,25
6145596,BARRIONUEVO ALTO 16 A,DOMESTICO,16
6145597,BARRIONUEVO ALTO 16,DOMESTICO,0
6145598,BARRIONUEVO ALTO 24,DOMESTICO,5
6145599,BARRIONUEVO ALTO 26,DOMESTICO,18
6145600,BARRIONUEVO ALTO 28,DOMESTICO,0
6145601,BARRIONUEVO ALTO 28 A,DOMESTICO,14
6145602,BARRIONUEVO ALTO 30,DOMESTICO,2
6145603,BARRIONUEVO ALTO 32 A,DOMESTICO,14
6145604,BARRIONUEVO ALTO 32,DOMESTICO,0
6145605,BARRIONUEVO ALTO 36,DOMESTICO,32
6145606,PS.DE PESCADORES 10-2-D,DOMESTICO,36
6145607,BARRIONUEVO ALTO 42,DOMESTICO,23
6145608,BARRIONUEVO ALTO 44,DOMESTICO,0
6145609,BARRIONUEVO ALTO 46,DOMESTICO,16
6145610,BARRIONUEVO ALTO 48,DOMESTICO,22
6145611,BARRIONUEVO ALTO 50,DOMESTICO,20
6145612,BARRIONUEVO ALTO 54,DOMESTICO,13
6145614,BARRIONUEVO ALTO 60,DOMESTICO,17
6145615,BARRIONUEVO ALTO 10,DOMESTICO,33
6145616,BARRIONUEVO ALTO 52,DOMESTICO,16
6145618,BARRIONUEVO ALTO 58,DOMESTICO,1
6145619,BARRIONUEVO ALTO 34,GARAJES,40
6145620,BARRIONUEVO ALTO 87,GARAJES,0
6145621,BARRIONUEVO ALTO 17,DOMESTICO,1
6145622,BARRIONUEVO ALTO 12,DOMESTICO,47
6145624,BARRIONUEVO BAJO 1,DOMESTICO,14
6145625,BARRIONUEVO BAJO 3,DOMESTICO,1
6145626,BARRIONUEVO BAJO 9,DOMESTICO,30
6145627,BARRIONUEVO BAJO 9,DOMESTICO,5
6145629,BARRIONUEVO BAJO 13 A,DOMESTICO,24
6145630,BARRIONUEVO BAJO 15,DOMESTICO,10
6145631,BARRIONUEVO BAJO 17,DOMESTICO,12
6145632,BARRIONUEVO BAJO 21,DOMESTICO,0
6145633,BARRIONUEVO BAJO 23,DOMESTICO,0
6145634,BARRIONUEVO BAJO 25,DOMESTICO,31
6145637,BARRIONUEVO BAJO 37,DOMESTICO,25
6145639,BARRIONUEVO BAJO 43,DOMESTICO,0
6145641,BARRIONUEVO BAJO 4,DOMESTICO,12
6145642,BARRIONUEVO BAJO 6,DOMESTICO,17
6145643,BARRIONUEVO BAJO 8,DOMESTICO,10
6145644,BARRIONUEVO BAJO 10,DOMESTICO,0
6145645,BARRIONUEVO BAJO 12,DOMESTICO,9
6145646,AV.EJIDO DE ABAJO 91,DOMESTICO,10
6145647,BARRIONUEVO BAJO 20,DOMESTICO,1
6145648,BARRIONUEVO BAJO 22,DOMESTICO,22
6145650,BARRIONUEVO BAJO 26,DOMESTICO,0
6145651,BARRIONUEVO BAJO 28,DOMESTICO,14
6145654,BARRIONUEVO BAJO 32 A,DOMESTICO,13
6145655,BARRIONUEVO BAJO 34,GARAJES,0
6145657,BARRIONUEVO BAJO 40,DOMESTICO,0
6145659,BARRIONUEVO BAJO 46,DOMESTICO,7
6145660,BARRIONUEVO BAJO 48,DOMESTICO,0
6145661,BARRIONUEVO BAJO 52 .,DOMESTICO,19
6145662,"SOLEDAD, RDA. SN",GARAJES,2
6145663,BARRIONUEVO BAJO 56,DOMESTICO,0
6145664,BARRIONUEVO BAJO 58,DOMESTICO,16
6145665,SOLANA 20 2º,DOMESTICO,43
6145666,BARRIONUEVO BAJO 62,GARAJES,0
6145669,BARRIONUEVO BAJO 1 B,DOMESTICO,49
6145670,BARRIONUEVO BAJO 16,DOMESTICO,0
6145671,CANTARRANA 72,GARAJES,0
6145672,CANTARRANA SN,NO DOMESTICO,3
6145674,CANTARRANA SN,NO DOMESTICO,0
6145675,CANTARRANA SN,NO DOMESTICO,2
6145676,CANTARRANA SN,GARAJES,0
6145677,CANTARRANA 3,GARAJES,3
6145678,CANTARRANA SN,GARAJES,6
6145679,AV.CONSTITUCION 1,DOMESTICO,14
6145680,AV.CONSTITUCION 3,DOMESTICO,46
6145681,AV.CONSTITUCION 5,DOMESTICO,0
6145682,AV.CONSTITUCION 11,DOMESTICO,19
6145683,AV.CONSTITUCION 11-A,DOMESTICO,23
6145684,AV.CONSTITUCION 13,COMERCIAL,3
6145685,AV.CONSTITUCION 15,NO DOMESTICO,0
6145686,PARRA 1,DOMESTICO,34
6145687,AV.CONSTITUCION 19,DOMESTICO,0
6145690,AV.CONSTITUCION 23,DOMESTICO,12
6145692,AV.CONSTITUCION 29,DOMESTICO,0
6145693,AV.CONSTITUCION 29-2,DOMESTICO,0
6145694,AV.CONSTITUCION 29,DOMESTICO,10
